Timestamp,Panel Voltage,Panel Current,Panel Power,TR,TL,BR,BL,Pan,Tilt
2022-07-16 02:16:20.983606,0.0,0.1,0.0,228,202,459,345,0.0,0.0
2022-07-16 02:16:21.077599,0.0,0.1,0.0,233,204,462,347,0.0,0.0
2022-07-16 02:16:21.172566,0.0,0.1,0.0,243,206,466,352,0.0,0.0
2022-07-16 02:16:21.270565,0.0,0.1,0.0,247,208,468,352,0.0,0.0
2022-07-16 02:16:21.364563,0.0,0.1,0.0,247,208,468,352,0.0,0.0
2022-07-16 02:16:21.462602,0.0,0.1,0.0,257,211,473,357,0.0,0.0
2022-07-16 02:16:21.557565,0.0,0.1,0.0,265,214,476,361,0.0,0.0
2022-07-16 02:16:21.654568,0.0,0.1,0.0,273,217,479,364,0.0,0.0
2022-07-16 02:16:21.749567,0.0,0.1,0.0,278,219,481,367,0.0,0.0
2022-07-16 02:16:21.844634,0.0,0.1,0.0,282,219,482,370,0.0,0.0
2022-07-16 02:16:21.941616,0.0,0.1,0.0,290,222,485,375,0.0,0.0
2022-07-16 02:16:22.036612,0.0,0.1,0.0,293,224,487,375,0.0,0.0
2022-07-16 02:16:22.134612,0.0,0.0,0.0,298,226,489,379,0.0,0.0
2022-07-16 02:16:22.228652,0.0,0.1,0.0,306,229,494,383,0.0,0.0
2022-07-16 02:16:22.323836,0.0,0.1,0.0,311,231,497,385,0.0,0.0
2022-07-16 02:16:22.420873,0.0,0.1,0.0,312,232,498,385,0.0,0.0
2022-07-16 02:16:22.515871,0.0,0.1,0.0,319,234,503,389,0.0,0.0
2022-07-16 02:16:22.613875,0.0,0.1,0.0,329,239,512,395,0.0,0.0
2022-07-16 02:16:22.707871,0.0,0.1,0.0,337,244,519,400,0.0,0.0
2022-07-16 02:16:22.805873,0.0,0.1,0.0,345,248,527,405,0.0,0.0
2022-07-16 02:16:22.900834,0.0,0.1,0.0,348,251,532,408,0.0,0.0
2022-07-16 02:16:22.994836,0.0,0.1,0.0,346,250,529,406,0.0,0.0
2022-07-16 02:16:23.092873,0.0,0.1,0.0,350,251,531,409,0.0,0.0
2022-07-16 02:16:23.186869,0.0,0.1,0.0,356,255,540,415,0.0,0.0
2022-07-16 02:16:23.284869,0.0,0.1,0.0,354,254,535,413,0.0,0.0
2022-07-16 02:16:23.379867,0.0,0.1,0.0,360,257,546,418,0.0,0.0
2022-07-16 02:16:23.473871,0.0,0.1,0.0,367,261,561,425,0.0,0.0
2022-07-16 02:16:23.571871,0.0,0.1,0.0,368,262,565,426,0.0,0.0
2022-07-16 02:16:23.667083,0.0,0.1,0.0,372,264,573,430,0.0,0.0
2022-07-16 02:16:23.764084,0.0,0.1,0.0,376,266,584,435,0.0,0.0
2022-07-16 02:16:23.859063,0.0,0.1,0.0,380,269,599,443,0.0,0.0
2022-07-16 02:16:23.957050,0.0,0.1,0.0,383,270,613,449,0.0,0.0
2022-07-16 02:16:24.051082,0.0,0.1,0.0,385,271,620,453,0.0,0.0
2022-07-16 02:16:24.146051,0.0,0.1,0.0,386,271,621,455,0.0,0.0
2022-07-16 02:16:24.244049,0.0,0.0,0.0,386,272,621,457,0.0,0.0
2022-07-16 02:16:24.338299,0.0,0.1,0.0,387,272,627,460,0.0,0.0
2022-07-16 02:16:24.436294,0.0,0.1,0.0,387,272,631,462,0.0,0.0
2022-07-16 02:16:24.530295,0.0,0.1,0.0,387,272,633,462,0.0,0.0
2022-07-16 02:16:24.625259,0.0,0.0,0.0,388,272,643,467,0.0,0.0
2022-07-16 02:16:24.723297,0.0,0.1,0.0,388,272,660,475,0.0,0.0
2022-07-16 02:16:24.817300,0.0,0.1,0.0,387,272,675,484,0.0,0.0
2022-07-16 02:16:24.915257,0.0,0.1,0.0,387,272,679,485,0.0,0.0
2022-07-16 02:16:25.009409,0.0,0.1,0.0,386,272,681,487,0.0,0.0
2022-07-16 02:16:25.107530,0.0,0.1,0.0,386,271,687,490,0.0,0.0
2022-07-16 02:16:25.202528,0.0,0.1,0.0,385,270,692,491,0.0,0.0
2022-07-16 02:16:25.296530,0.0,0.1,0.0,385,270,690,490,0.0,0.0
2022-07-16 02:16:25.394533,0.0,0.0,0.0,385,270,689,490,0.0,0.0
2022-07-16 02:16:25.489528,0.0,0.1,0.0,384,270,698,498,0.0,0.0
2022-07-16 02:16:25.586529,0.0,0.1,0.0,383,268,713,509,0.0,0.0
2022-07-16 02:16:25.681528,0.0,0.0,0.0,379,265,731,522,0.0,0.0
2022-07-16 02:16:25.775528,0.0,0.1,0.0,376,262,743,531,0.0,0.0
2022-07-16 02:16:25.873493,0.0,0.1,0.0,375,260,750,535,0.0,0.0
2022-07-16 02:16:25.968493,0.0,0.0,0.0,374,259,753,537,0.0,0.0
2022-07-16 02:16:26.066535,0.0,0.1,0.0,374,259,752,537,0.0,0.0
2022-07-16 02:16:26.160530,0.0,0.1,0.0,373,258,755,541,0.0,0.0
2022-07-16 02:16:26.258528,0.0,0.1,0.0,372,257,759,543,0.0,0.0
2022-07-16 02:16:26.353495,0.0,0.1,0.0,371,256,761,545,0.0,0.0
2022-07-16 02:16:26.447767,0.0,0.1,0.0,370,255,764,545,0.0,0.0
2022-07-16 02:16:26.545768,0.0,0.1,0.0,369,254,767,546,0.0,0.0
2022-07-16 02:16:26.639770,0.0,0.1,0.0,367,252,772,551,0.0,0.0
2022-07-16 02:16:26.737768,0.0,0.1,0.0,365,250,776,556,0.0,0.0
2022-07-16 02:16:26.832733,0.0,0.1,0.0,364,249,779,560,0.0,0.0
2022-07-16 02:16:26.926765,0.0,0.1,0.0,362,247,783,564,0.0,0.0
