TOTAL TIME: 96 seconds. Adjustment interval: 2000ms. Dual axis solar tracker
Timestamp,Servo Voltage,Servo Current,Servo Power
2022-07-16 01:08:17.324216,5.16,6.3,34.0
2022-07-16 01:08:17.324216,5.16,6.9,34.0
2022-07-16 01:08:17.324216,5.17,6.5,33.0
2022-07-16 01:08:17.325212,5.16,6.5,34.0
2022-07-16 01:08:17.325212,5.17,6.4,34.0
2022-07-16 01:08:17.325212,5.16,6.6,34.0
2022-07-16 01:08:17.325212,5.16,6.5,33.0
2022-07-16 01:08:17.326213,5.16,6.6,34.0
2022-07-16 01:08:17.326213,5.16,6.7,33.0
2022-07-16 01:08:17.326213,5.17,6.5,33.0
2022-07-16 01:08:17.327214,5.16,6.6,33.0
2022-07-16 01:08:17.457178,5.16,6.5,33.0
2022-07-16 01:08:17.457178,5.16,6.8,34.0
2022-07-16 01:08:17.457178,5.16,6.5,33.0
2022-07-16 01:08:17.458212,5.16,6.6,33.0
2022-07-16 01:08:17.458212,5.17,6.4,33.0
2022-07-16 01:08:17.458212,5.16,6.4,33.0
2022-07-16 01:08:17.458212,5.17,6.4,33.0
2022-07-16 01:08:17.459212,5.16,6.4,33.0
2022-07-16 01:08:17.459212,5.17,6.7,34.0
2022-07-16 01:08:17.615177,5.16,6.5,34.0
2022-07-16 01:08:17.615177,5.16,6.4,33.0
2022-07-16 01:08:17.615177,5.16,6.4,33.0
2022-07-16 01:08:17.615177,5.16,6.4,33.0
2022-07-16 01:08:17.616215,5.16,6.5,33.0
2022-07-16 01:08:17.616215,5.17,6.4,33.0
2022-07-16 01:08:17.616215,5.17,6.7,34.0
2022-07-16 01:08:17.616215,5.16,6.5,33.0
2022-07-16 01:08:17.617214,5.16,6.5,33.0
2022-07-16 01:08:17.617214,5.16,6.5,33.0
2022-07-16 01:08:17.617214,5.16,6.4,34.0
2022-07-16 01:08:17.787178,5.16,6.5,33.0
2022-07-16 01:08:17.788177,5.17,6.4,33.0
2022-07-16 01:08:17.788177,5.16,6.4,33.0
2022-07-16 01:08:17.788177,5.16,6.4,33.0
2022-07-16 01:08:17.788177,5.16,6.4,33.0
2022-07-16 01:08:17.789177,5.16,6.5,33.0
2022-07-16 01:08:17.789177,5.16,6.7,34.0
2022-07-16 01:08:17.789177,5.17,6.4,33.0
2022-07-16 01:08:17.789177,5.17,6.3,33.0
2022-07-16 01:08:17.790176,5.17,6.4,33.0
2022-07-16 01:08:17.790176,5.17,6.4,33.0
2022-07-16 01:08:17.790176,5.16,6.5,34.0
2022-07-16 01:08:17.911179,5.16,6.3,33.0
2022-07-16 01:08:17.911179,5.16,6.8,36.0
2022-07-16 01:08:17.911179,5.16,6.4,33.0
2022-07-16 01:08:17.912179,5.17,6.4,33.0
2022-07-16 01:08:17.912179,5.16,6.6,34.0
2022-07-16 01:08:17.912179,5.17,6.4,34.0
2022-07-16 01:08:17.912179,5.16,6.5,33.0
2022-07-16 01:08:17.913179,5.16,6.4,33.0
2022-07-16 01:08:17.913179,5.16,6.8,34.0
2022-07-16 01:08:18.061178,5.16,6.5,33.0
2022-07-16 01:08:18.061178,5.16,6.4,33.0
2022-07-16 01:08:18.061178,5.17,6.4,33.0
2022-07-16 01:08:18.062177,5.16,6.5,34.0
2022-07-16 01:08:18.062177,5.17,14.0,72.0
2022-07-16 01:08:18.062177,5.17,14.1,72.0
2022-07-16 01:08:18.062177,5.16,6.3,33.0
2022-07-16 01:08:18.063176,5.16,6.4,33.0
2022-07-16 01:08:18.063176,5.17,14.2,74.0
2022-07-16 01:08:18.063176,5.17,14.2,72.0
2022-07-16 01:08:18.231177,5.17,6.9,36.0
2022-07-16 01:08:18.232202,5.16,6.4,33.0
2022-07-16 01:08:18.232202,5.16,6.5,33.0
2022-07-16 01:08:18.233188,5.17,6.4,33.0
2022-07-16 01:08:18.233188,5.16,6.5,33.0
2022-07-16 01:08:18.233188,5.16,6.5,33.0
2022-07-16 01:08:18.233188,5.16,6.3,33.0
2022-07-16 01:08:18.234204,5.17,6.9,34.0
2022-07-16 01:08:18.234204,5.16,6.5,33.0
2022-07-16 01:08:18.234204,5.17,6.5,33.0
2022-07-16 01:08:18.234204,5.16,6.4,33.0
2022-07-16 01:08:18.235202,5.16,6.6,34.0
2022-07-16 01:08:18.383176,5.16,6.5,33.0
2022-07-16 01:08:18.384178,5.16,6.4,33.0
2022-07-16 01:08:18.384178,5.16,6.6,34.0
2022-07-16 01:08:18.384178,5.17,6.4,34.0
2022-07-16 01:08:18.384178,5.16,6.5,33.0
2022-07-16 01:08:18.385176,5.16,6.4,33.0
2022-07-16 01:08:18.385176,5.16,6.7,34.0
2022-07-16 01:08:18.385176,5.16,6.5,33.0
2022-07-16 01:08:18.386176,5.16,6.4,33.0
2022-07-16 01:08:18.386176,5.16,6.5,33.0
2022-07-16 01:08:18.388176,5.16,6.4,33.0
2022-07-16 01:08:18.511203,5.16,6.5,34.0
2022-07-16 01:08:18.512201,5.17,6.3,33.0
2022-07-16 01:08:18.512201,5.16,6.8,34.0
2022-07-16 01:08:18.512201,5.16,6.6,34.0
2022-07-16 01:08:18.512201,5.16,6.4,33.0
2022-07-16 01:08:18.513203,5.16,6.4,33.0
2022-07-16 01:08:18.513203,5.16,6.4,33.0
2022-07-16 01:08:18.513203,5.16,6.4,33.0
2022-07-16 01:08:18.677177,5.17,6.4,33.0
2022-07-16 01:08:18.678177,5.16,6.7,34.0
2022-07-16 01:08:18.678177,5.16,6.5,33.0
2022-07-16 01:08:18.678177,5.16,6.4,33.0
2022-07-16 01:08:18.678177,5.16,6.4,33.0
2022-07-16 01:08:18.679177,5.17,6.5,33.0
2022-07-16 01:08:18.679177,5.16,6.6,34.0
2022-07-16 01:08:18.679177,5.16,6.4,34.0
2022-07-16 01:08:18.679177,5.16,6.7,33.0
2022-07-16 01:08:18.680177,5.16,6.5,33.0
2022-07-16 01:08:18.680177,5.16,6.4,33.0
2022-07-16 01:08:18.680177,5.16,6.4,33.0
2022-07-16 01:08:18.841178,5.16,6.5,34.0
2022-07-16 01:08:18.841178,5.16,6.5,34.0
2022-07-16 01:08:18.842179,5.16,6.5,33.0
2022-07-16 01:08:18.842179,5.16,6.4,33.0
2022-07-16 01:08:18.843177,5.16,6.4,33.0
2022-07-16 01:08:18.843177,5.16,6.5,33.0
2022-07-16 01:08:18.844178,5.17,6.4,33.0
2022-07-16 01:08:18.844178,5.17,6.8,34.0
2022-07-16 01:08:18.844178,5.17,6.4,33.0
2022-07-16 01:08:18.845177,5.16,6.5,33.0
2022-07-16 01:08:18.845177,5.16,10.6,54.0
2022-07-16 01:08:19.039176,5.17,14.0,72.0
2022-07-16 01:08:19.039176,5.17,14.3,74.0
2022-07-16 01:08:19.040177,5.17,14.3,74.0
2022-07-16 01:08:19.040177,5.16,6.6,34.0
2022-07-16 01:08:19.040177,5.16,6.5,33.0
2022-07-16 01:08:19.041183,5.16,6.6,33.0
2022-07-16 01:08:19.041183,5.17,6.4,33.0
2022-07-16 01:08:19.041183,5.16,6.6,34.0
2022-07-16 01:08:19.042178,5.16,6.6,34.0
2022-07-16 01:08:19.042178,5.16,6.5,33.0
2022-07-16 01:08:19.042178,5.16,6.7,33.0
2022-07-16 01:08:19.042178,5.16,6.4,33.0
2022-07-16 01:08:19.042178,5.16,6.4,33.0
2022-07-16 01:08:19.043213,5.16,6.4,34.0
2022-07-16 01:08:19.174176,5.17,6.8,34.0
2022-07-16 01:08:19.175176,5.16,6.4,33.0
2022-07-16 01:08:19.175176,5.16,6.5,33.0
2022-07-16 01:08:19.175176,5.16,6.4,33.0
2022-07-16 01:08:19.175176,5.16,6.5,33.0
2022-07-16 01:08:19.175176,5.17,6.4,33.0
2022-07-16 01:08:19.176175,5.17,6.6,34.0
2022-07-16 01:08:19.176175,5.17,6.7,34.0
2022-07-16 01:08:19.176175,5.16,6.5,33.0
2022-07-16 01:08:19.371179,5.16,6.4,33.0
2022-07-16 01:08:19.372177,5.16,6.3,33.0
2022-07-16 01:08:19.372177,5.16,6.4,33.0
2022-07-16 01:08:19.372177,5.17,6.4,33.0
2022-07-16 01:08:19.373182,5.16,6.5,33.0
2022-07-16 01:08:19.373182,5.17,6.7,34.0
2022-07-16 01:08:19.373182,5.16,6.4,33.0
2022-07-16 01:08:19.373182,5.16,6.5,33.0
2022-07-16 01:08:19.374181,5.16,6.5,33.0
2022-07-16 01:08:19.374181,5.16,6.4,34.0
2022-07-16 01:08:19.374181,5.16,6.5,33.0
2022-07-16 01:08:19.374181,5.17,6.4,33.0
2022-07-16 01:08:19.375181,5.17,6.4,34.0
2022-07-16 01:08:19.375181,5.16,6.5,33.0
2022-07-16 01:08:19.492177,5.16,6.5,33.0
2022-07-16 01:08:19.492177,5.16,6.4,33.0
2022-07-16 01:08:19.492177,5.16,6.7,34.0
2022-07-16 01:08:19.493177,5.16,6.5,33.0
2022-07-16 01:08:19.493177,5.17,6.3,33.0
2022-07-16 01:08:19.493177,5.17,6.4,33.0
2022-07-16 01:08:19.493177,5.16,6.4,33.0
2022-07-16 01:08:19.493177,5.16,6.5,33.0
2022-07-16 01:08:19.498177,5.16,6.3,33.0
2022-07-16 01:08:19.636177,5.16,6.6,34.0
2022-07-16 01:08:19.637176,5.16,6.4,33.0
2022-07-16 01:08:19.637176,5.16,6.4,34.0
2022-07-16 01:08:19.637176,5.16,6.5,33.0
2022-07-16 01:08:19.637176,5.16,6.5,33.0
2022-07-16 01:08:19.638175,5.16,6.5,34.0
2022-07-16 01:08:19.638175,5.16,6.4,33.0
2022-07-16 01:08:19.638175,5.16,7.0,33.0
2022-07-16 01:08:19.638175,5.16,6.4,33.0
2022-07-16 01:08:19.770177,5.16,6.5,33.0
2022-07-16 01:08:19.770177,5.16,6.3,33.0
2022-07-16 01:08:19.770177,5.16,6.4,36.0
2022-07-16 01:08:19.770177,5.16,6.5,33.0
2022-07-16 01:08:19.771176,5.16,14.5,75.0
2022-07-16 01:08:19.771176,5.17,14.3,74.0
2022-07-16 01:08:19.771176,5.17,13.9,72.0
2022-07-16 01:08:19.771176,5.17,13.9,69.0
2022-07-16 01:08:19.772177,5.17,6.4,33.0
2022-07-16 01:08:19.772177,5.17,6.9,36.0
2022-07-16 01:08:19.927182,5.16,6.5,34.0
2022-07-16 01:08:19.927182,5.16,6.4,33.0
2022-07-16 01:08:19.927182,5.16,6.4,33.0
2022-07-16 01:08:19.928183,5.16,6.5,33.0
2022-07-16 01:08:19.928183,5.16,6.5,33.0
2022-07-16 01:08:19.928183,5.16,6.3,33.0
2022-07-16 01:08:19.929179,5.17,6.7,34.0
2022-07-16 01:08:19.929179,5.17,6.3,33.0
2022-07-16 01:08:19.929179,5.16,6.5,34.0
2022-07-16 01:08:19.930180,5.17,6.3,33.0
2022-07-16 01:08:19.930180,5.16,6.5,34.0
2022-07-16 01:08:20.081179,5.16,6.4,33.0
2022-07-16 01:08:20.081179,5.17,6.4,33.0
2022-07-16 01:08:20.082178,5.16,6.6,33.0
2022-07-16 01:08:20.082178,5.16,6.5,34.0
2022-07-16 01:08:20.082178,5.16,6.5,33.0
2022-07-16 01:08:20.083179,5.16,6.4,33.0
2022-07-16 01:08:20.083179,5.16,6.8,34.0
2022-07-16 01:08:20.083179,5.16,6.5,34.0
2022-07-16 01:08:20.084181,5.16,6.4,33.0
2022-07-16 01:08:20.084181,5.16,6.4,33.0
2022-07-16 01:08:20.244177,5.16,6.4,33.0
2022-07-16 01:08:20.245179,5.16,6.5,33.0
2022-07-16 01:08:20.245179,5.17,6.3,33.0
2022-07-16 01:08:20.245179,5.16,6.7,34.0
2022-07-16 01:08:20.245179,5.16,6.4,33.0
2022-07-16 01:08:20.246177,5.16,6.3,33.0
2022-07-16 01:08:20.246177,5.17,6.4,33.0
2022-07-16 01:08:20.246177,5.16,6.4,33.0
2022-07-16 01:08:20.246177,5.16,6.4,33.0
2022-07-16 01:08:20.247178,5.16,6.4,33.0
2022-07-16 01:08:20.247178,5.16,6.7,33.0
2022-07-16 01:08:20.375175,5.16,6.6,33.0
2022-07-16 01:08:20.375175,5.16,6.5,33.0
2022-07-16 01:08:20.376176,5.16,6.3,33.0
2022-07-16 01:08:20.376176,5.16,6.4,34.0
2022-07-16 01:08:20.376176,5.16,6.6,33.0
2022-07-16 01:08:20.376176,5.16,6.5,34.0
2022-07-16 01:08:20.377176,5.16,6.4,33.0
2022-07-16 01:08:20.377176,5.16,6.5,33.0
2022-07-16 01:08:20.377176,5.16,6.4,33.0
2022-07-16 01:08:20.378175,5.16,6.4,33.0
2022-07-16 01:08:20.652183,5.16,6.7,34.0
2022-07-16 01:08:20.653180,5.16,6.5,34.0
2022-07-16 01:08:20.653180,5.16,6.5,33.0
2022-07-16 01:08:20.653180,5.17,6.4,33.0
2022-07-16 01:08:20.654178,5.16,6.4,33.0
2022-07-16 01:08:20.654178,5.16,6.5,33.0
2022-07-16 01:08:20.655178,5.16,6.4,33.0
2022-07-16 01:08:20.655178,5.16,6.9,34.0
2022-07-16 01:08:20.655178,5.16,6.4,33.0
2022-07-16 01:08:20.656177,5.17,6.6,34.0
2022-07-16 01:08:20.656177,5.16,6.4,33.0
2022-07-16 01:08:20.657182,5.16,6.4,33.0
2022-07-16 01:08:20.657182,5.16,6.4,33.0
2022-07-16 01:08:20.658180,5.16,6.6,34.0
2022-07-16 01:08:20.658180,5.16,6.7,34.0
2022-07-16 01:08:20.658180,5.16,6.4,33.0
2022-07-16 01:08:20.659177,5.16,6.6,33.0
2022-07-16 01:08:20.659177,5.17,6.5,34.0
2022-07-16 01:08:20.659177,5.16,6.6,34.0
2022-07-16 01:08:20.881178,5.16,6.6,33.0
2022-07-16 01:08:20.881178,5.16,6.5,34.0
2022-07-16 01:08:20.882178,5.16,6.6,33.0
2022-07-16 01:08:20.882178,5.16,6.4,33.0
2022-07-16 01:08:20.883177,5.16,6.5,33.0
2022-07-16 01:08:20.883177,5.17,6.5,34.0
2022-07-16 01:08:20.883177,5.16,6.8,36.0
2022-07-16 01:08:20.884177,5.16,6.5,34.0
2022-07-16 01:08:20.884177,5.16,6.5,33.0
2022-07-16 01:08:20.884177,5.16,6.4,33.0
2022-07-16 01:08:20.885177,5.16,6.5,33.0
2022-07-16 01:08:20.886178,5.17,6.5,34.0
2022-07-16 01:08:20.886178,5.16,6.5,33.0
2022-07-16 01:08:20.887178,5.17,6.7,34.0
2022-07-16 01:08:20.887178,5.16,6.5,33.0
2022-07-16 01:08:20.888177,5.16,6.3,34.0
2022-07-16 01:08:21.169179,5.16,6.3,33.0
2022-07-16 01:08:21.170179,5.16,6.4,33.0
2022-07-16 01:08:21.170179,5.16,6.5,33.0
2022-07-16 01:08:21.170179,5.17,6.5,33.0
2022-07-16 01:08:21.170179,5.16,6.5,33.0
2022-07-16 01:08:21.171177,5.16,6.5,33.0
2022-07-16 01:08:21.171177,5.16,6.5,33.0
2022-07-16 01:08:21.171177,5.16,6.3,33.0
2022-07-16 01:08:21.171177,5.16,6.8,34.0
2022-07-16 01:08:21.172176,5.16,6.5,33.0
2022-07-16 01:08:21.172176,5.17,6.4,33.0
2022-07-16 01:08:21.172176,5.17,6.6,33.0
2022-07-16 01:08:21.172176,5.16,6.6,33.0
2022-07-16 01:08:21.173178,5.16,6.5,33.0
2022-07-16 01:08:21.173178,5.16,6.3,33.0
2022-07-16 01:08:21.174178,5.16,6.6,34.0
2022-07-16 01:08:21.174178,5.16,6.4,33.0
2022-07-16 01:08:21.174178,5.16,6.4,33.0
2022-07-16 01:08:21.175178,5.16,6.4,33.0
2022-07-16 01:08:21.175178,5.16,6.4,34.0
2022-07-16 01:08:21.474179,5.16,6.5,33.0
2022-07-16 01:08:21.474179,5.16,6.4,33.0
2022-07-16 01:08:21.475179,5.16,6.7,34.0
2022-07-16 01:08:21.475179,5.16,6.4,33.0
2022-07-16 01:08:21.475179,5.16,6.4,33.0
2022-07-16 01:08:21.475179,5.17,6.4,33.0
2022-07-16 01:08:21.476179,5.17,6.5,33.0
2022-07-16 01:08:21.476179,5.16,6.6,34.0
2022-07-16 01:08:21.476179,5.16,6.3,34.0
2022-07-16 01:08:21.477179,5.16,6.7,33.0
2022-07-16 01:08:21.477179,5.16,6.4,33.0
2022-07-16 01:08:21.477179,5.16,6.5,33.0
2022-07-16 01:08:21.477179,5.16,6.4,33.0
2022-07-16 01:08:21.478178,5.17,6.6,36.0
2022-07-16 01:08:21.478178,5.16,6.5,34.0
2022-07-16 01:08:21.478178,5.16,6.4,33.0
2022-07-16 01:08:21.479178,5.16,6.4,33.0
2022-07-16 01:08:21.479178,5.16,16.2,85.0
2022-07-16 01:08:21.479178,5.16,15.3,79.0
2022-07-16 01:08:21.480179,5.17,15.3,79.0
2022-07-16 01:08:21.480179,5.17,7.0,36.0
2022-07-16 01:08:21.681176,5.16,6.5,33.0
2022-07-16 01:08:21.681176,5.16,6.5,33.0
2022-07-16 01:08:21.681176,5.16,6.4,33.0
2022-07-16 01:08:21.681176,5.16,6.3,33.0
2022-07-16 01:08:21.682176,5.16,6.4,33.0
2022-07-16 01:08:21.682176,5.17,6.4,33.0
2022-07-16 01:08:21.682176,5.17,6.6,34.0
2022-07-16 01:08:21.683178,5.16,6.5,33.0
2022-07-16 01:08:21.683178,5.16,6.6,33.0
2022-07-16 01:08:21.683178,5.16,6.4,33.0
2022-07-16 01:08:21.683178,5.16,6.6,34.0
2022-07-16 01:08:21.684177,5.16,6.5,33.0
2022-07-16 01:08:21.684177,5.16,6.4,33.0
2022-07-16 01:08:21.685178,5.16,6.5,33.0
2022-07-16 01:08:21.871177,5.17,6.5,33.0
2022-07-16 01:08:21.872179,5.16,6.5,34.0
2022-07-16 01:08:21.872179,5.16,6.4,33.0
2022-07-16 01:08:21.873177,5.16,6.8,34.0
2022-07-16 01:08:21.873177,5.16,6.5,33.0
2022-07-16 01:08:21.873177,5.16,6.5,33.0
2022-07-16 01:08:21.874177,5.16,6.4,33.0
2022-07-16 01:08:21.874177,5.16,6.5,33.0
2022-07-16 01:08:21.874177,5.16,6.4,34.0
2022-07-16 01:08:21.875177,5.16,6.4,33.0
2022-07-16 01:08:21.875177,5.16,6.7,34.0
2022-07-16 01:08:21.875177,5.16,6.6,34.0
2022-07-16 01:08:21.876178,5.16,6.3,33.0
2022-07-16 01:08:21.877178,5.16,6.4,33.0
2022-07-16 01:08:22.095178,5.16,6.5,33.0
2022-07-16 01:08:22.096179,5.16,6.5,34.0
2022-07-16 01:08:22.096179,5.16,6.4,34.0
2022-07-16 01:08:22.096179,5.16,6.8,33.0
2022-07-16 01:08:22.096179,5.16,6.5,33.0
2022-07-16 01:08:22.097177,5.16,6.5,33.0
2022-07-16 01:08:22.097177,5.16,6.4,33.0
2022-07-16 01:08:22.097177,5.16,6.4,34.0
2022-07-16 01:08:22.098179,5.16,6.7,34.0
2022-07-16 01:08:22.098179,5.17,6.5,34.0
2022-07-16 01:08:22.098179,5.16,6.4,33.0
2022-07-16 01:08:22.098179,5.16,6.5,33.0
2022-07-16 01:08:22.099178,5.16,6.6,34.0
2022-07-16 01:08:22.099178,5.16,6.4,33.0
2022-07-16 01:08:22.099178,5.17,6.8,34.0
2022-07-16 01:08:22.241178,5.16,6.5,33.0
2022-07-16 01:08:22.241178,5.16,6.5,34.0
2022-07-16 01:08:22.242178,5.16,6.4,33.0
2022-07-16 01:08:22.242178,5.16,6.5,33.0
2022-07-16 01:08:22.242178,5.16,6.4,33.0
2022-07-16 01:08:22.242178,5.16,6.4,33.0
2022-07-16 01:08:22.243178,5.16,7.0,34.0
2022-07-16 01:08:22.243178,5.16,6.4,33.0
2022-07-16 01:08:22.243178,5.16,6.6,34.0
2022-07-16 01:08:22.243178,5.16,6.4,33.0
2022-07-16 01:08:22.389211,5.16,6.5,33.0
2022-07-16 01:08:22.390211,5.16,6.5,33.0
2022-07-16 01:08:22.390211,5.17,14.4,74.0
2022-07-16 01:08:22.391212,5.17,14.6,74.0
2022-07-16 01:08:22.391212,5.17,14.2,74.0
2022-07-16 01:08:22.392210,5.17,6.5,34.0
2022-07-16 01:08:22.392210,5.16,6.4,33.0
2022-07-16 01:08:22.393214,5.17,6.6,36.0
2022-07-16 01:08:22.393214,5.16,6.5,33.0
2022-07-16 01:08:22.394212,5.16,6.5,34.0
2022-07-16 01:08:22.394212,5.16,6.4,33.0
2022-07-16 01:08:22.527213,5.16,6.4,33.0
2022-07-16 01:08:22.527213,5.16,6.4,33.0
2022-07-16 01:08:22.527213,5.17,6.4,34.0
2022-07-16 01:08:22.528213,5.16,6.9,36.0
2022-07-16 01:08:22.528213,5.16,6.5,33.0
2022-07-16 01:08:22.528213,5.16,6.6,34.0
2022-07-16 01:08:22.529212,5.16,6.4,33.0
2022-07-16 01:08:22.529212,5.16,6.3,33.0
2022-07-16 01:08:22.529212,5.16,6.5,33.0
2022-07-16 01:08:22.678176,5.17,6.5,33.0
2022-07-16 01:08:22.678176,5.16,6.8,34.0
2022-07-16 01:08:22.679176,5.16,6.5,33.0
2022-07-16 01:08:22.679176,5.16,6.5,33.0
2022-07-16 01:08:22.679176,5.16,6.4,33.0
2022-07-16 01:08:22.679176,5.16,6.4,34.0
2022-07-16 01:08:22.679176,5.16,6.4,33.0
2022-07-16 01:08:22.680177,5.17,6.4,33.0
2022-07-16 01:08:22.680177,5.17,6.6,34.0
2022-07-16 01:08:22.680177,5.16,6.5,33.0
2022-07-16 01:08:22.800214,5.16,6.3,33.0
2022-07-16 01:08:22.801178,5.16,6.3,33.0
2022-07-16 01:08:22.801178,5.16,6.7,34.0
2022-07-16 01:08:22.801178,5.16,6.5,33.0
2022-07-16 01:08:22.801178,5.17,6.4,33.0
2022-07-16 01:08:22.802177,5.17,6.4,33.0
2022-07-16 01:08:22.802177,5.16,6.4,33.0
2022-07-16 01:08:22.802177,5.16,6.5,33.0
2022-07-16 01:08:22.802177,5.16,6.4,34.0
2022-07-16 01:08:22.970214,5.16,6.7,34.0
2022-07-16 01:08:22.970214,5.16,6.4,33.0
2022-07-16 01:08:22.971214,5.16,6.4,33.0
2022-07-16 01:08:22.971214,5.16,6.5,33.0
2022-07-16 01:08:22.972212,5.17,6.4,33.0
2022-07-16 01:08:22.972212,5.16,6.5,34.0
2022-07-16 01:08:22.972212,5.16,6.4,33.0
2022-07-16 01:08:22.973214,5.16,6.7,34.0
2022-07-16 01:08:22.973214,5.16,6.4,33.0
2022-07-16 01:08:22.974212,5.16,6.4,33.0
2022-07-16 01:08:22.974212,5.17,6.4,33.0
2022-07-16 01:08:22.974212,5.16,6.4,33.0
2022-07-16 01:08:23.101216,5.16,6.5,33.0
2022-07-16 01:08:23.101216,5.17,6.3,33.0
2022-07-16 01:08:23.101216,5.17,6.3,33.0
2022-07-16 01:08:23.102213,5.16,6.5,33.0
2022-07-16 01:08:23.102213,5.16,6.5,33.0
2022-07-16 01:08:23.102213,5.16,6.4,33.0
2022-07-16 01:08:23.102213,5.17,6.6,34.0
2022-07-16 01:08:23.103211,5.16,6.5,33.0
2022-07-16 01:08:23.103211,5.16,6.4,33.0
